Concept Precision   Recall  F1  support
invasive_procedure  0.5 0.1111111111111111  0.1818181818181818  9
tissue  0.3333333333333333  0.047619047619047616    0.08333333333333333 21
analyst 0.4 0.04878048780487805 0.08695652173913045 41
customer    0.0 0.0 0.0 13
gift    0.0 0.0 0.0 18
collection  0.0 0.0 0.0 15
intervention    1.0 0.07142857142857142 0.13333333333333333 14
notable 0.0 0.0 0.0 18
hormone 1.0 0.375   0.5454545454545454  16
exception   0.0 0.0 0.0 6
ward    0.0 0.0 0.0 13
offering    0.0 0.0 0.0 11
circuit 0.6 0.3 0.4 10
painting    0.0 0.0 0.0 18
play    0.5 0.058823529411764705    0.10526315789473684 17
river   0.7692307692307693  0.2857142857142857  0.41666666666666663 70
structure   1.0 0.06666666666666667 0.125   15
cultivar    0.0 0.0 0.0 14
procedure   0.2727272727272727  0.21428571428571427 0.23999999999999996 14
animal  0.7692307692307693  0.43478260869565216 0.5555555555555555  23
toy 0.0 0.0 0.0 8
heavyweight 0.0 0.0 0.0 11
regulation  1.0 0.14285714285714285 0.25    7
notable_exception   0.0 0.0 0.0 18
special 0.0 0.0 0.0 9
pro 0.75    0.1875  0.3 16
discipline  0.375   0.46153846153846156 0.41379310344827586 13
language    0.8 0.18181818181818182 0.2962962962962963  22
island  0.96    0.375   0.5393258426966292  64
car 0.3333333333333333  0.1111111111111111  0.16666666666666666 18
drink   0.6666666666666666  0.24    0.3529411764705882  25
religion    1.0 0.3333333333333333  0.5 6
trait   0.0 0.0 0.0 9
mental_health   0.0 0.0 0.0 9
beverage    0.5 0.16666666666666666 0.25    12
orchestra   1.0 0.18181818181818182 0.3076923076923077  11
starter 0.0 0.0 0.0 16
upgrade 0.0 0.0 0.0 14
account 0.0 0.0 0.0 11
soft_tissue 0.0 0.0 0.0 17
photographer    0.9333333333333333  0.56    0.7000000000000001  25
venue   0.3333333333333333  0.047619047619047616    0.08333333333333333 21
Adverse_Effect  0.6666666666666666  0.3076923076923077  0.42105263157894735 13
province    0.8055555555555556  0.8055555555555556  0.8055555555555556  36
publication 0.5 0.22727272727272727 0.3125  22
quality 0.7142857142857143  0.45454545454545453 0.5555555555555556  11
vessel  0.75    0.21428571428571427 0.3333333333333333  14
therapy 0.5 0.14285714285714285 0.22222222222222224 21
speaker 0.2 0.02857142857142857 0.049999999999999996    35
polymer 0.0 0.0 0.0 15
flavor  0.8 0.13793103448275862 0.2352941176470588  29
chemical    1.0 0.07692307692307693 0.14285714285714288 13
shape   0.7142857142857143  0.7142857142857143  0.7142857142857143  7
guest   0.0 0.0 0.0 33
gene    1.0 0.06666666666666667 0.125   15
injury  0.7692307692307693  0.5882352941176471  0.6666666666666667  34
combination 0.0 0.0 0.0 4
bank    0.7 0.5833333333333334  0.6363636363636365  24
accessory   0.0 0.0 0.0 8
airline 0.8181818181818182  0.45    0.5806451612903226  20
county  0.8 0.5490196078431373  0.6511627906976745  51
competition 0.0 0.0 0.0 20
actor   0.6153846153846154  0.24242424242424243 0.34782608695652173 33
station 0.0 0.0 0.0 25
gem 0.0 0.0 0.0 11
image   0.0 0.0 0.0 11
luminary    0.0 0.0 0.0 22
expression  0.0 0.0 0.0 13
people  0.18181818181818182 0.25    0.2105263157894737  8
vehicle 0.3888888888888889  0.4117647058823529  0.39999999999999997 17
society 0.0 0.0 0.0 13
tree    0.7 0.2692307692307692  0.3888888888888889  26
union   0.75    0.375   0.5 8
division    0.0 0.0 0.0 15
genre   0.5625  0.391304347826087   0.46153846153846156 23
fruit   0.7777777777777778  0.5833333333333334  0.6666666666666666  12
contemporary    0.0 0.0 0.0 18
heroes  0.0 0.0 0.0 22
officer 0.0 0.0 0.0 10
heroe   0.0 0.0 0.0 24
virus   0.5 0.15384615384615385 0.23529411764705882 13
establishment   0.0 0.0 0.0 8
piece   0.0 0.0 0.0 22
scientist   0.6666666666666666  0.21428571428571427 0.3243243243243243  28
spot    0.0 0.0 0.0 12
wrestler    0.8461538461538461  0.7333333333333333  0.7857142857142856  15
space   0.6 0.23076923076923078 0.33333333333333337 13
vaccine 0.6 0.5294117647058824  0.5625  17
track   0.0 0.0 0.0 24
value   0.4444444444444444  0.5 0.47058823529411764 8
pioneer 0.0 0.0 0.0 27
substrate   0.5 0.2222222222222222  0.30769230769230765 9
publisher   0.5 0.041666666666666664    0.07692307692307693 24
architect   1.0 0.3333333333333333  0.5 15
behavior    0.75    0.25    0.375   12
theorist    0.0 0.0 0.0 25
producer    0.2222222222222222  0.058823529411764705    0.09302325581395347 34
sweet   0.0 0.0 0.0 6
mission 0.5 0.1 0.16666666666666669 20
single  0.0 0.0 0.0 7
partner 0.0 0.0 0.0 9
park    0.6666666666666666  0.10526315789473684 0.18181818181818182 19
celebs  0.3333333333333333  0.3125  0.3225806451612903  16
finish  0.0 0.0 0.0 3
committee   0.6 0.2727272727272727  0.37499999999999994 11
battle  0.7142857142857143  0.2631578947368421  0.3846153846153846  19
crop    0.6666666666666666  0.3076923076923077  0.42105263157894735 13
phrase  0.0 0.0 0.0 19
sight   0.75    0.14285714285714285 0.24    21
addition    0.0 0.0 0.0 15
album   0.6666666666666666  0.06451612903225806 0.1176470588235294  31
leader  0.18181818181818182 0.07407407407407407 0.10526315789473684 27
habitat 0.8181818181818182  0.375   0.5142857142857142  24
charity 0.9166666666666666  0.39285714285714285 0.55    28
malignancy  1.0 0.2 0.33333333333333337 15
feeling 0.5714285714285714  0.6666666666666666  0.6153846153846153  6
mouth_watering  0.0 0.0 0.0 9
legend  0.0 0.0 0.0 33
real_estate 0.2 0.037037037037037035    0.0625  27
icon    0.0 0.0 0.0 15
modality    0.5 0.1111111111111111  0.1818181818181818  9
restaurant  0.8181818181818182  0.17647058823529413 0.2903225806451613  51
cheese  1.0 0.38461538461538464 0.5555555555555556  13
mammal  0.3076923076923077  0.2857142857142857  0.29629629629629634 14
cutting_edge    0.0 0.0 0.0 20
headliner   0.0 0.0 0.0 14
fuel    1.0 0.3333333333333333  0.5 9
syndrome    0.0 0.0 0.0 9
fixture 0.0 0.0 0.0 17
prop    0.0 0.0 0.0 7
report  0.0 0.0 0.0 15
center  0.0 0.0 0.0 18
college 0.0 0.0 0.0 12
delicacy    0.0 0.0 0.0 11
role    1.0 0.18181818181818182 0.3076923076923077  11
newcomer    0.0 0.0 0.0 18
ensemble    1.0 0.21428571428571427 0.35294117647058826 14
investment  0.25    0.14285714285714285 0.18181818181818182 7
control 0.0 0.0 0.0 17
theory  0.5 0.07142857142857142 0.125   14
salad   0.0 0.0 0.0 9
biomarker   0.0 0.0 0.0 6
nickname    0.0 0.0 0.0 16
singer  0.7777777777777778  0.23333333333333334 0.35897435897435903 30
raw_material    0.0 0.0 0.0 12
entree  0.4 0.0625  0.10810810810810811 32
african_american    0.4 0.1111111111111111  0.1739130434782609  18
operator    0.6 0.13636363636363635 0.22222222222222218 22
particle    0.0 0.0 0.0 7
politician  0.26666666666666666 0.1 0.14545454545454545 40
builder 0.7142857142857143  0.3125  0.43478260869565216 16
maker   0.0 0.0 0.0 13
series  0.0 0.0 0.0 13
store   0.6 0.17647058823529413 0.2727272727272727  17
sport   0.9166666666666666  0.7333333333333333  0.8148148148148148  15
developer   0.6 0.10344827586206896 0.17647058823529413 29
museum  0.6 0.375   0.4615384615384615  16
enzyme  1.0 0.0625  0.11764705882352941 16
Web_Site    0.0 0.0 0.0 15
herb    0.7142857142857143  0.3125  0.43478260869565216 16
fashion_designer    0.6 0.21428571428571427 0.3157894736842105  14
record  0.0 0.0 0.0 5
software    0.5 0.15384615384615385 0.23529411764705882 13
street  0.4 0.08333333333333333 0.13793103448275862 24
show    1.0 0.05263157894736842 0.1 19
version 0.0 0.0 0.0 6
stimulus    0.0 0.0 0.0 7
teammate    0.0 0.0 0.0 11
touch   0.0 0.0 0.0 10
outlet  0.0 0.0 0.0 13
Service_Provider    0.0 0.0 0.0 11
entertainer 0.5 0.1 0.16666666666666669 10
advocate    0.0 0.0 0.0 15
suburb  0.6666666666666666  0.2978723404255319  0.4117647058823529  47
exhibit 0.0 0.0 0.0 12
mine    0.3333333333333333  0.1111111111111111  0.16666666666666666 9
settlement  0.6666666666666666  0.04081632653061224 0.07692307692307691 49
remedy  0.5 0.125   0.2 8
official    0.0 0.0 0.0 22
poem    0.0 0.0 0.0 9
breed   0.7419354838709677  0.6216216216216216  0.676470588235294   37
state   0.7 0.6363636363636364  0.6666666666666666  11
youngster   0.6363636363636364  0.21875 0.3255813953488372  32
camp    0.75    0.3 0.4285714285714285  10
organ   0.625   0.5 0.5555555555555556  10
giant   0.0 0.0 0.0 10
actress 0.0 0.0 0.0 16
fund    0.5 0.14285714285714285 0.22222222222222224 21
variant 0.0 0.0 0.0 13
Empirical_Study 0.0 0.0 0.0 14
Signature_Dish  0.0 0.0 0.0 20
mode    0.0 0.0 0.0 12
conference  0.5 0.07692307692307693 0.13333333333333336 13
force   0.0 0.0 0.0 10
brewery 0.5 0.125   0.2 8
art 0.5 0.16666666666666666 0.25    6
threat  0.6666666666666666  0.3076923076923077  0.42105263157894735 13
production  0.0 0.0 0.0 16
supporter   0.0 0.0 0.0 18
inhibitor   0.0 0.0 0.0 5
journal 1.0 0.16666666666666666 0.2857142857142857  18
practitioner    1.0 0.2 0.33333333333333337 5
novelist    0.0 0.0 0.0 10
invertebrate    1.0 0.375   0.5454545454545454  8
vegetable   0.625   0.35714285714285715 0.45454545454545453 14
musical 1.0 0.2 0.33333333333333337 15
economist   0.6666666666666666  0.3333333333333333  0.4444444444444444  42
card    1.0 0.0625  0.11764705882352941 16
network 0.0 0.0 0.0 17
comedy  0.5 0.14285714285714285 0.22222222222222224 7
nineteenth_century  0.0 0.0 0.0 9
grass   0.0 0.0 0.0 10
ride    1.0 0.29411764705882354 0.45454545454545453 17
standout    0.0 0.0 0.0 13
water   0.0 0.0 0.0 13
worker  0.0 0.0 0.0 19
investigator    0.0 0.0 0.0 19
surgery 1.0 0.047619047619047616    0.0909090909090909  21
Famous_Name 0.0 0.0 0.0 17
Centre  0.0 0.0 0.0 24
parish  1.0 0.1 0.18181818181818182 10
comment 0.0 0.0 0.0 6
occupation  0.0 0.0 0.0 15
artiste 0.3333333333333333  0.07692307692307693 0.125   13
experiment  0.5 0.1111111111111111  0.1818181818181818  9
insect  0.7142857142857143  0.23809523809523808 0.35714285714285715 21
densely_populated   0.0 0.0 0.0 11
dog 0.5555555555555556  0.22727272727272727 0.3225806451612903  22
commentator 0.0 0.0 0.0 31
infection   0.47058823529411764 0.47058823529411764 0.47058823529411764 17
composition 0.0 0.0 0.0 13
dignitary   0.0 0.0 0.0 14
ethnic_minority 0.0 0.0 0.0 12
internationally_renowned    0.0 0.0 0.0 12
prison  1.0 0.15384615384615385 0.2666666666666667  13
philosopher 0.6666666666666666  0.2222222222222222  0.3333333333333333  18
critically_acclaimed    0.0 0.0 0.0 18
comic   1.0 0.09090909090909091 0.16666666666666669 11
surname 0.0 0.0 0.0 23
finding 0.0 0.0 0.0 8
index   0.0 0.0 0.0 10
peer    0.0 0.0 0.0 13
coach   0.7586206896551724  0.5945945945945946  0.6666666666666667  37
activist    1.0 0.10526315789473684 0.1904761904761905  19
foundation  0.5 0.125   0.2 8
award   0.9333333333333333  0.45161290322580644 0.608695652173913   31
pathogen    0.3 0.375   0.33333333333333326 16
face    0.0 0.0 0.0 35
council 0.6666666666666666  0.34782608695652173 0.4571428571428571  23
verb    0.5 0.15384615384615385 0.23529411764705882 13
acquisition 0.0 0.0 0.0 18
selection   0.0 0.0 0.0 10
defect  0.5 0.058823529411764705    0.10526315789473684 17
route   0.0 0.0 0.0 11
studio  0.3333333333333333  0.08333333333333333 0.13333333333333333 12
thinker 1.0 0.14285714285714285 0.25    21
container   0.375   0.1875  0.25    16
Historical_Site 0.0 0.0 0.0 14
abnormality 0.0 0.0 0.0 6
movement    0.0 0.0 0.0 18
colleague   0.0 0.0 0.0 19
sociologist 0.0 0.0 0.0 7
base    0.0 0.0 0.0 10
culture 0.625   0.45454545454545453 0.5263157894736842  11
monster 0.16666666666666666 0.1 0.125   10
explorer    1.0 0.09090909090909091 0.16666666666666669 11
investor    0.7 0.25    0.3684210526315789  28
tourist_destination 0.3333333333333333  0.05555555555555555 0.09523809523809525 18
insurer 0.8333333333333334  0.45454545454545453 0.5882352941176471  11
regular 0.0 0.0 0.0 12
sample  1.0 0.25    0.4 4
Menu_Item   0.0 0.0 0.0 20
Offence 0.5555555555555556  0.45454545454545453 0.5 11
minister    0.5 0.2 0.28571428571428575 10
composer    0.8 0.6557377049180327  0.7207207207207207  61
coating 0.0 0.0 0.0 14
perennial   0.0 0.0 0.0 10
soil    0.5 0.16666666666666666 0.25    18
performance 0.0 0.0 0.0 3
teacher 0.0 0.0 0.0 11
painter 0.8 0.2 0.32000000000000006 20
landmark    0.0 0.0 0.0 11
university  0.5555555555555556  0.29411764705882354 0.3846153846153846  17
mountain    0.5 0.058823529411764705    0.10526315789473684 17
novel   0.0 0.0 0.0 18
wine    0.5714285714285714  0.36363636363636365 0.4444444444444444  11
fabric  0.875   0.21212121212121213 0.3414634146341463  33
internationally_acclaimed   0.0 0.0 0.0 12
franchise   0.0 0.0 0.0 11
prize   1.0 0.08333333333333333 0.15384615384615385 12
disaster    1.0 0.1111111111111111  0.19999999999999998 18
topping 0.5 0.058823529411764705    0.10526315789473684 17
house   0.0 0.0 0.0 14
journalist  0.6666666666666666  0.125   0.21052631578947367 32
filmmaker   0.42105263157894735 0.24242424242424243 0.3076923076923077  33
djs 0.36363636363636365 0.2 0.25806451612903225 20
law_enforcement 0.0 0.0 0.0 7
muscle  0.8 0.3076923076923077  0.4444444444444444  13
blue_chip   0.0 0.0 0.0 18
manager 0.45454545454545453 0.2631578947368421  0.3333333333333333  19
stock   0.4 0.3333333333333333  0.3636363636363636  18
contributor 0.0 0.0 0.0 16
choreographer   0.8461538461538461  0.6875  0.7586206896551724  16
south_african   0.3333333333333333  0.15789473684210525 0.21428571428571427 19
resort  0.6190476190476191  0.28888888888888886 0.3939393939393939  45
folk    0.0 0.0 0.0 18
tune    0.0 0.0 0.0 12
winery  0.8333333333333334  0.23809523809523808 0.37037037037037035 21
entrepreneur    0.0 0.0 0.0 10
physician   1.0 0.2 0.33333333333333337 10
deity   1.0 0.1111111111111111  0.19999999999999998 9
playwright  1.0 0.2857142857142857  0.4444444444444445  14
move    0.4 0.13333333333333333 0.2 15
user    0.0 0.0 0.0 6
quarterback 0.5 0.2222222222222222  0.30769230769230765 9
twentieth_century   0.0 0.0 0.0 12
guest_speaker   0.0 0.0 0.0 10
dance   0.875   0.2692307692307692  0.411764705882353   26
villain 0.6666666666666666  0.09523809523809523 0.16666666666666666 21
contender   0.0 0.0 0.0 12
spelling    0.0 0.0 0.0 7
law 0.25    0.11764705882352941 0.15999999999999998 17
lender  1.0 0.125   0.2222222222222222  8
cell    0.0 0.0 0.0 23
fundraiser  0.0 0.0 0.0 9
theologian  0.5 0.09090909090909091 0.15384615384615385 11
flower  0.8571428571428571  0.375   0.5217391304347825  16
airport 0.5 0.1875  0.2727272727272727  16
stream  0.0 0.0 0.0 17
estate  0.0 0.0 0.0 14
meat    0.3333333333333333  0.07692307692307693 0.125   13
tributary   0.0 0.0 0.0 18
proponent   0.0 0.0 0.0 6
sensor  0.0 0.0 0.0 8
democrat    0.5185185185185185  0.45161290322580644 0.48275862068965514 31
comedian    0.5416666666666666  0.52    0.5306122448979592  25
effort  0.0 0.0 0.0 16
predator    0.4 0.125   0.19047619047619047 16
shrub   0.6666666666666666  0.13333333333333333 0.2222222222222222  15
antibiotic  0.8571428571428571  0.46153846153846156 0.6 13
phone   0.6666666666666666  0.5 0.5714285714285715  8
supermarket 1.0 0.3 0.4615384615384615  10
township    0.6666666666666666  0.1 0.1739130434782609  20
historian   0.6666666666666666  0.06451612903225806 0.1176470588235294  31
rider   0.6046511627906976  0.7027027027027027  0.6499999999999999  37
abbreviation    1.0 0.07142857142857142 0.13333333333333333 14
cartoon 0.5 0.4444444444444444  0.47058823529411764 9
